Preprocessing Strategy,Accuracy,Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro,F1 Weighted,Training Time Seconds
Basic encoded data,0.33975,0.3408699104342677,0.3404171056873057,0.3408699104342677,0.3255525865111002,0.32505500781653646,1.3147988319396973
Missing-value imputation,0.3345,0.33251175475983485,0.33409742761943356,0.33251175475983485,0.2508157108607418,0.25183623525443066,0.9473209381103516
Encoding + scaling,0.3345,0.33251175475983485,0.33409742761943356,0.33251175475983485,0.2508157108607418,0.25183623525443066,0.9267392158508301
Missing indicators added,0.334375,0.3323853484900839,0.33385714274818024,0.3323853484900839,0.250587868745553,0.2516102787775425,0.9480419158935547
Full preprocessing pipeline,0.334375,0.3323853484900839,0.33385714274818024,0.3323853484900839,0.250587868745553,0.2516102787775425,0.9395685195922852
