Scenario,Accuracy,Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro,F1 Weighted,CV Std. Dev.,Training Time Seconds
80/20 train-test split,0.334375,0.3323853484900839,0.33385714274818024,0.3323853484900839,0.250587868745553,0.2516102787775425,,0.909172534942627
70/30 train-test split,0.33616666666666667,0.3339408364255951,0.33886345179910166,0.3339408364255951,0.2248958187684071,0.22609484644683925,,0.7994523048400879
3-fold cross-validation,,,,,0.243321969851123,,0.03531890518372404,
10% numeric noise added,0.33475,0.335570749158783,0.3365986526389013,0.335570749158783,0.32772298325029964,0.3273568128805514,,1.5767443180084229
20% numeric missingness added,0.338875,0.3366955022851607,0.35162096275665866,0.3366955022851607,0.21012187380074462,0.21105096320120031,,0.8332979679107666
