Model,Accuracy,Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro,F1 Weighted,Training Time Seconds,Rank
Logistic Regression,0.330125,0.33008787391211486,0.3300627386820792,0.33008787391211486,0.3300246747993176,0.3300739223350776,1.2107985019683838,1
Bernoulli Naive Bayes,0.325625,0.32546401812498676,0.32524424283216113,0.32546401812498676,0.32515535556175873,0.3252606176404383,0.5837323665618896,2
Random Forest Classifier,0.32725,0.32708587868846273,0.3263391515875452,0.32708587868846273,0.3237465838131736,0.3238344372832121,0.7802298069000244,3
Extra Trees Classifier,0.33325,0.3335979493972037,0.33180354923447647,0.3335979493972037,0.3098885335732445,0.30966422882197264,0.672379732131958,4
SGD Linear Classifier,0.331125,0.3308379919255771,0.3363396340747061,0.3308379919255771,0.27753636446986796,0.27747933717660167,0.7203249931335449,5
Decision Tree Classifier,0.334375,0.3323853484900839,0.33385714274818024,0.3323853484900839,0.250587868745553,0.2516102787775425,0.9656426906585693,6
