Model,Accuracy,Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro,F1 Weighted,Training Time Seconds
Stratified Random Baseline,0.334125,0.33414624786004504,0.3341510704318756,0.33414624786004504,0.33409181328787135,0.3340891321882519,0.5040750503540039
Logistic Regression,0.330125,0.33008787391211486,0.3300627386820792,0.33008787391211486,0.3300246747993176,0.3300739223350776,1.121403455734253
SGD Linear Classifier,0.331125,0.3308379919255771,0.3363396340747061,0.3308379919255771,0.27753636446986796,0.27747933717660167,0.7952682971954346
Decision Tree Classifier,0.334375,0.3323853484900839,0.33385714274818024,0.3323853484900839,0.250587868745553,0.2516102787775425,0.9059436321258545
Most Frequent Baseline,0.335875,0.3333333333333333,0.11195833333333333,0.3333333333333333,0.16761797822900096,0.1688960653129971,0.5614218711853027
